t|uc_0|ud|m|x_0|x_1|x_2|h_0|h_1|h_2|h_3|h_4|yc_0|yc_1|yd
101100|3.5e-05|no|Nom1|2.4353939552860377|2.202280559004963|2.3146697431466134|0.6972960458178664|0.6361450573592558|0.6365089123018945|0.003364327923422672|0.003364327923422672|2.4479692272677496|106.98907222588335|no
101160|3.5e-05|no|Nom1|2.430883845754924|2.1973175813707444|2.313973501501629|0.6974776137145597|0.6363633048440474|0.6367269415392014|0.0033663211927735803|0.0033663211927735803|2.429756911094193|106.9651728164609|no
101220|3.5e-05|no|Nom1|2.427238570794902|2.197027910054974|2.3105746146131034|0.6976590727031906|0.6365814214196247|0.6369448399982032|0.0033683144581379|0.0033683144581379|2.441105056976586|106.95670609781534|no
101280|3.5e-05|no|Nom1|2.4225670807596367|2.1916530701576864|2.3062240949608737|0.6978404228490844|0.6367994071645098|0.6371626077573435|0.0033703077195157416|0.0033703077195157416|2.4183255966723465|106.52727284068234|no
101340|3.5e-05|no|Nom1|2.4217977743377217|2.186004394269974|2.30189711674508|0.6980216642175272|0.6370172621571776|0.6373802448950185|0.0033723009769069945|0.0033723009769069945|2.4683119696293767|106.36652987127367|no
101400|3.5e-05|ferm v13|Nom1|2.417797223992626|2.180335712675033|2.300276218539928|0.6982027968737659|0.6372349864760559|0.637597751489578|0.0033742942303117696|0.0033742942303117696|2.419169544630298|106.14202980695454|no
101460|3.5e-05|no|Nom2|2.554189882202092|2.1480071058653327|2.1885781299125147|0.6985044432285775|0.6374525801995254|0.637815127619324|0.003376287479730067|0.003376287479730067|2.529953975400422|106.11702950932148|no
101520|3.5e-05|no|Nom2|2.6893212089877006|2.083297965614761|2.1141893349800545|0.6988057880878071|0.6376700434059199|0.6380323733625121|0.0033782807251618863|0.0033782807251618863|2.691206021449197|105.81235433424771|no
101580|3.5e-05|no|Nom2|2.8267102255078904|2.012291470947797|2.0429020843089254|0.6991068317527999|0.6378873761735261|0.6382494887973507|0.003380273966607228|0.003380273966607228|2.8235127888472853|105.77756214838574|no
101640|3.5e-05|no|Nom2|2.9603930604514037|1.9436822648180485|1.969663814771084|0.6994075745245993|0.6381045785805839|0.6384664740020014|0.0033822672040660917|0.0033822672040660917|2.9471575612207292|105.973342695105|no
101700|3.5e-05|no|Nom2|3.0972731898850903|1.8761020238391022|1.9029505854590933|0.6997080167039482|0.6383216507052859|0.6386833290545788|0.0033842604375384777|0.0033842604375384777|3.1368973348805884|105.98861227126119|no
101760|3.5e-05|no|Nom2|3.2332958245594003|1.8107971281313402|1.8324482403041142|0.7000081585912887|0.6385385926257784|0.6389000540331506|0.003386253667024386|0.003386253667024386|3.244171035972108|106.0575090670425|no
101820|3.5e-05|no|Nom2|3.3696407743953793|1.7446645904441904|1.7687260242618563|0.700308000486763|0.6387554044201603|0.6391166490157381|0.0033882468925238163|0.0033882468925238163|3.350139697104336|105.8526414034849|no
101880|3.5e-05|no|Nom2|3.5087184828936473|1.6805138255577479|1.7057009056295669|0.7006075426902126|0.6389720861664839|0.6393331140803153|0.003390240114036769|0.003390240114036769|3.539386964882108|106.05729394297384|no
101940|3.5e-05|no|Nom2|3.646806549174657|1.6182728477027934|1.6457944332691883|0.7009067855011801|0.6391886379427547|0.6395494493048097|0.0033922333315633546|0.0033922333315633546|3.628885186240545|106.64676561601345|no
