t|uc_0|ud|m|x_0|x_1|x_2|h_0|h_1|h_2|h_3|h_4|yc_0|yc_1|yd
260640|3.5e-05|no|Def3|2.4932690404634963|-0.004670338928503965|0.011722679414090222|1.0|0.9262002548032369|0.9262740545484356|0.008650368388003593|0.008650368388003593|2.4798216129818678|38.70532385626006|no
260700|3.5e-05|no|Def3|2.493930768168324|0.001332356479481699|0.009799127819776567|1.0|0.9262445213690572|0.9263182768476901|0.008652351085284171|0.008652351085284171|2.508009590191215|38.53471233435928|no
260760|3.5e-05|no|Def3|2.4965032417042763|-0.00014240799309838667|0.008496881854089441|1.0|0.9262887613829044|0.9263624726215234|0.008654333778599255|0.008654333778599255|2.489291231463079|38.2739301111707|no
260820|3.5e-05|no|Def3|2.4980699423680326|-0.001899467004611773|0.00553773761026145|1.0|0.9263329748607049|0.9264066418858461|0.008656316467948955|0.008656316467948955|2.515060810375723|38.73740027307398|no
260880|3.5e-05|no|Def3|2.5002429286435985|-0.004105331375916101|0.01180586321311565|1.0|0.9263771618183755|0.9264507846565591|0.008658299153333382|0.008658299153333382|2.4859009946731354|38.50926305421496|no
260940|3.5e-05|no|Def3|2.498288135000223|0.00048180127525153507|0.008383838628627035|1.0|0.9264213222718236|0.9264949009495538|0.008660281834752426|0.008660281834752426|2.482677217380639|38.70482331664452|no
261000|3.5e-05|ouvr v13|Def3|2.4976613081371606|-0.0008023184262591761|0.012436224240583903|1.0|0.926465456236947|0.926538990780712|0.008662264512206086|0.008662264512206086|2.4889494297298147|38.541706164467854|no
261060|3.5e-05|no|Def3|2.494503792352867|0.001773634086456128|0.010069315232317976|1.0|0.9265095637296338|0.9265830541659061|0.008664247185694363|0.008664247185694363|2.4960064657562215|38.42981650350856|no
261120|3.5e-05|no|Def3|2.493837978676698|0.001790064957354913|0.014449000709551074|1.0|0.9265536447657627|0.926627091120999|0.008666229855217367|0.008666229855217367|2.448907888553904|38.759715866294414|no
261180|3.5e-05|no|Def3|2.4921972452430694|0.003652508432653329|0.00921739451175716|1.0|0.9265976993612031|0.9266711016618437|0.008668212520774987|0.008668212520774987|2.513842921992764|38.489895222194335|no
261240|3.5e-05|no|Def3|2.494008886922389|9.059492519629441e-05|0.01086917800714893|1.0|0.9266417275318143|0.9267150858042844|0.008670195182367335|0.008670195182367335|2.4906836125577216|38.36708028554312|no
261300|3.5e-05|no|Def3|2.495202465013803|0.0001363661540542961|0.01025189543380333|1.0|0.9266857292934466|0.9267590435641552|0.0086721778399943|0.0086721778399943|2.512050678198628|38.464900384618595|no
261360|3.5e-05|no|Def3|2.4989717742289783|8.263116936217408e-05|0.008653746500025775|1.0|0.9267297046619407|0.9268029749572808|0.008674160493655991|0.008674160493655991|2.464518035081186|38.11204421829225|no
261420|3.5e-05|no|Def3|2.4952179058993527|-0.0031604014555341197|0.012769416936605599|1.0|0.9267736536531277|0.9268468799994767|0.0086761431433523|0.0086761431433523|2.4967547915711843|38.9498422135318|no
261480|3.5e-05|no|Def3|2.496366035510993|-0.0016449598704362347|0.00914641947037109|1.0|0.9268175762828292|0.9268907587065485|0.008678125789083335|0.008678125789083335|2.5205362966954143|38.45261603198835|no
261540|3.5e-05|no|Def3|2.498403115262519|0.0012514352607865388|0.010106144121745332|1.0|0.9268614725668575|0.9269346110942926|0.008680108430849098|0.008680108430849098|2.5177957180341926|38.53936058355573|no
261600|3.5e-05|no|Def3|2.498995197303695|0.00021978006022918572|0.008846356782126055|1.0|0.926905342521015|0.926978437178496|0.008682091068649589|0.008682091068649589|2.4917345084788134|38.69793972080126|no
261660|3.5e-05|no|Def3|2.4986245865260557|0.001171731673106969|0.012782803466047642|1.0|0.926949186161095|0.927022236974936|0.008684073702484807|0.008684073702484807|2.4700126218644733|38.864011528524934|no
261720|3.5e-05|no|Def3|2.49903190583005|0.00016076573234292678|0.010324627020718773|1.0|0.9269930035028813|0.9270660104993805|0.008686056332354752|0.008686056332354752|2.4882978213406157|38.76511038103938|no
261780|3.5e-05|no|Def3|2.4962537829250464|-0.0021010934294698577|0.009028024256557821|1.0|0.927036794562148|0.927109757767588|0.008688038958259425|0.008688038958259425|2.4990193244227203|38.76473322271226|no
261840|3.5e-05|no|Def3|2.4977272675409026|0.0018942920716042908|0.00979067166873925|1.0|0.92708055935466|0.9271534787953075|0.008690021580198937|0.008690021580198937|2.4794595688712464|38.78777661273246|no
261900|3.5e-05|no|Def3|2.4972233960946455|-0.001489892092103144|0.011111135292691999|1.0|0.9271242978961727|0.9271971735982786|0.008692004198173175|0.008692004198173175|2.4840496456188577|38.5867411718945|no
261960|3.5e-05|no|Def3|2.4982404596462824|-0.0038156056690769008|0.009573569748999708|1.0|0.9271680102024318|0.9272408421922314|0.008693986812182142|0.008693986812182142|2.5049633429079763|37.86125674344175|no
262020|3.5e-05|no|Def3|2.500527806475002|0.0027955657087337855|0.006601434955031484|1.0|0.9272116962891737|0.9272844845928866|0.008695969422225946|0.008695969422225946|2.477082583042885|38.601339252065884|no
262080|3.5e-05|no|Def3|2.497085232777193|0.001877165683813313|0.009467193824540879|1.0|0.9272553561721255|0.9273281008159555|0.008697952028304479|0.008697952028304479|2.4733625323162123|38.73621165097154|no
262140|3.5e-05|no|Def3|2.4961302011171815|0.001984482768966331|0.011487570804384149|1.0|0.9272989898670048|0.9273716908771399|0.00869993463041785|0.00869993463041785|2.5107917976956142|38.920538694827464|no
262200|3.5e-05|no|Def3|2.4998209770494233|0.0008526714609764127|0.010128742166390757|1.0|0.9273425973895195|0.9274152547921322|0.008701917228565947|0.008701917228565947|2.5235392322488255|38.692539165625824|no
262260|3.5e-05|no|Def3|2.502026774022851|0.0026918223018951694|0.011077372471663375|1.0|0.9273861787553686|0.9274587925766155|0.008703899822748884|0.008703899822748884|2.470097109859342|38.54987280129242|no
262320|3.5e-05|no|Def3|2.4973986570035764|-0.00036824661134932|0.010149109358721166|1.0|0.9274297339802412|0.9275023042462632|0.008705882412966659|0.008705882412966659|2.506638735731762|38.681225501662524|no
262380|3.5e-05|no|Def3|2.496897397926103|0.00016674408334531264|0.00985195622732835|1.0|0.9274732630798173|0.9275457898167397|0.008707864999219272|0.008707864999219272|2.481437430832568|38.673727574011|no
262440|3.5e-05|no|Def3|2.4974428240738913|0.0029602848439517185|0.011991631801877841|1.0|0.9275167660697673|0.9275892493036998|0.008709847581506724|0.008709847581506724|2.528946696509163|38.57011748066707|no
262500|3.5e-05|no|Def3|2.4997281545528915|0.002520514766168378|0.00979235664838079|1.0|0.9275602429657523|0.9276326827227889|0.008711830159829015|0.008711830159829015|2.505530770279833|38.58879016717974|no
262560|3.5e-05|no|Def3|2.4972817909162712|0.005138707710538021|0.01260656529318971|1.0|0.9276036937834241|0.9276760900896429|0.008713812734186144|0.008713812734186144|2.52298849858823|38.305466460125785|no
262620|3.5e-05|no|Def3|2.4970125395907146|0.004191567135623358|0.01615914963748217|1.0|0.9276471185384249|0.9277194714198886|0.008715795304578111|0.008715795304578111|2.480331046690562|38.62414171407399|no
262680|3.5e-05|no|Def3|2.500662533816558|0.00347632957822776|0.011469591056620125|1.0|0.9276905172463875|0.9277628267291432|0.008717777871004917|0.008717777871004917|2.483915795620758|38.88642225773026|no
262740|3.5e-05|no|Def3|2.4999916265343547|-0.0009953921500195054|0.012092088504594369|1.0|0.9277338899229355|0.9278061560330148|0.008719760433466561|0.008719760433466561|2.5281571391501676|38.620422071660784|no
262800|3.5e-05|no|Def3|2.5013184087305547|0.002271684780140826|0.008986425535383908|1.0|0.927777236583683|0.9278494593471016|0.008721742991963155|0.008721742991963155|2.510553061863546|38.74632269655077|no
262860|3.5e-05|no|Def3|2.5031793026085327|-0.0016382772819474184|0.008255012474294188|1.0|0.9278205572442351|0.927892736686993|0.008723725546494587|0.008723725546494587|2.4917918894077|38.755380567066396|no
262920|3.5e-05|no|Def3|2.5015419900837164|-0.003255290882833048|0.010032546218548422|1.0|0.9278638519201869|0.9279359880682689|0.008725708097060969|0.008725708097060969|2.501403822457855|38.93770975008714|no
262980|3.5e-05|no|Def3|2.5017387169517074|-0.002028707620990847|0.010523626205799932|1.0|0.9279071206271248|0.9279792135064997|0.00872769064366219|0.00872769064366219|2.499661546104534|38.4681463353075|no
263040|3.5e-05|no|Def3|2.5019001294586753|0.0015357091281678252|0.010936066449211565|1.0|0.9279503633806252|0.9280224130172466|0.008729673186298359|0.008729673186298359|2.5085852624845755|38.32269457379648|no
263100|3.5e-05|no|Def3|2.4998415085579153|0.001503040096976706|0.011751498067040176|1.0|0.9279935801962557|0.9280655866160614|0.008731655724969478|0.008731655724969478|2.5080805852951884|38.48126604390433|no
263160|3.5e-05|no|Def3|2.5030141457475805|-0.003324592118975016|0.011941852058616028|1.0|0.9280367710895742|0.9281087343184866|0.008733638259675547|0.008733638259675547|2.5288425886640447|38.535183676140896|no
263220|3.5e-05|no|Def3|2.5034185715875066|0.002945372272505008|0.010431209442082298|1.0|0.9280799360761295|0.9281518561400554|0.008735620790416454|0.008735620790416454|2.545463911566406|38.671650072790754|no
263280|3.5e-05|no|Def3|2.5036821953277766|-0.0015587031978701012|0.01237164218467866|1.0|0.9281230751714611|0.9281949520962915|0.00873760331719231|0.00873760331719231|2.5236378314452246|38.705024369282185|no
263340|3.5e-05|no|Def3|2.5047972362120277|-0.00015359295076965165|0.010398922620113472|1.0|0.9281661883910989|0.9282380222027098|0.008739585840003117|0.008739585840003117|2.5182361028401177|38.86917949994286|no
263400|3.5e-05|ferm v13|Def3|2.5047599087172565|-0.001122050478864201|0.013202273794583361|1.0|0.9282092757505638|0.9282810664748152|0.008741568358848872|0.008741568358848872|2.487989892472997|38.626228257272835|no
263460|3.5e-05|no|Def3|2.5027609080135957|0.0019191527754568185|0.009540598015801352|1.0|0.9282523372653672|0.9283240849281038|0.008743550873729689|0.008743550873729689|2.509880028674734|38.65596518982789|no
263520|3.5e-05|no|Def3|2.5031523955248085|0.0027347335952211363|0.01146652816339215|1.0|0.9282953729510112|0.9283670775780621|0.008745533384645454|0.008745533384645454|2.5100352584570627|38.82664536537959|no
263580|3.5e-05|no|Def3|2.501273498204621|-0.004558876179089797|0.012719925648966885|1.0|0.9283383828229886|0.9284100444401676|0.00874751589159617|0.00874751589159617|2.5036769923666773|38.13603710638689|no
263640|3.5e-05|no|Def3|2.5040613101589364|0.0013273080353355465|0.009747653183587435|1.0|0.9283813668967832|0.9284529855298884|0.008749498394581834|0.008749498394581834|2.496377426919468|38.44337870390199|no
263700|3.5e-05|no|Def3|2.502576429291977|0.00012505621602257685|0.011037920185740712|1.0|0.928424325187869|0.9284959008626832|0.008751480893602559|0.008751480893602559|2.4959486955194476|38.80468788800846|no
263760|3.5e-05|no|Def3|2.50236592200962|-0.001689193280193658|0.011421355758843467|1.0|0.9284672577117111|0.9285387904540015|0.008753463388658234|0.008753463388658234|2.509068193018103|38.404957976620956|no
263820|3.5e-05|no|Def3|2.502631876257894|-0.0032541259549521435|0.01022146509453484|1.0|0.9285101644837652|0.9285816543192835|0.008755445879748969|0.008755445879748969|2.477213355082992|38.683410500309|no
263880|3.5e-05|no|Def3|2.502049941823611|8.057476575258382e-05|0.0102304498991567|1.0|0.9285530455194778|0.9286244924739604|0.008757428366874764|0.008757428366874764|2.485226531350588|38.62672077433646|no
263940|3.5e-05|no|Def3|2.502632642764528|0.0022912011525076277|0.009726783581761676|1.0|0.928595900834286|0.9286673049334538|0.00875941085003551|0.00875941085003551|2.50526017726086|39.00544649935873|no
264000|3.5e-05|no|Def3|2.499574269086148|0.0008605379369937726|0.009963901622266796|1.0|0.9286387304436178|0.9287100917131763|0.008761393329231315|0.008761393329231315|2.499934612946731|38.88889662685495|no
264060|3.5e-05|no|Def3|2.501117464951521|0.004122551764232541|0.01030729518365525|1.0|0.9286815343628917|0.9287528528285309|0.008763375804462181|0.008763375804462181|2.531660136348268|38.59889786263816|no
264120|3.5e-05|no|Def3|2.499644742732986|0.0007285096873604007|0.009512654305862048|1.0|0.9287243126075172|0.9287955882949118|0.008765358275728108|0.008765358275728108|2.487244650651858|38.85075210545923|no
264180|3.5e-05|no|Def3|2.4993177504210164|-0.0014670502830483863|0.008503959508572984|1.0|0.9287670651928945|0.9288382981277037|0.008767340743029095|0.008767340743029095|2.4983370208644526|38.67092595192963|no
264240|3.5e-05|no|Def3|2.497806122162268|0.0021472072729800435|0.009065432385187776|1.0|0.9288097921344145|0.9288809823422821|0.008769323206365143|0.008769323206365143|2.4897630686921963|38.744721683117184|no
264300|3.5e-05|no|Def3|2.496868861682725|-0.0010322237920445925|0.01136387034081905|1.0|0.9288524934474589|0.9289236409540135|0.008771305665736251|0.008771305665736251|2.5037653126756756|38.86253942136842|no
264360|3.5e-05|no|Def3|2.498317506848142|-0.0009246525081902579|0.008336965607757638|1.0|0.9288951691474001|0.9289662739782548|0.00877328812114242|0.00877328812114242|2.496638654361153|38.826862671820635|no
264420|3.5e-05|no|Def3|2.5006134899458643|0.0036101076530490692|0.01159006396056266|1.0|0.9289378192496015|0.929008881430354|0.00877527057258376|0.00877527057258376|2.4982215804486323|38.678983239689224|no
